1.mp4;polymathie2.mp4;require,attention,id,like,list,im,go
3.mp4;require,attention,id,like,list,im,go
4.mp4;perhaps,toxic,disposal,new
5.mp4;toxic,disposal,theory,dont
6.mp4;hiding,shell,games,postponement,tabling,toxic,disposal,real,method,need,come
7.mp4;hiding,shell,games,postponement,tabling,toxic,disposal,real,method,need,come
8.mp4;toxic,materials,throughout,sequester,radioactive,world,continue,body
9.mp4;toxic,material,half,live,earth,many,year,thousand
10.mp4;yesterdays,newspaper,greenpeace,reported,encountering,japan,dumping,nuclear,corp,soviet,frigate,sea
11.mp4;yesterdays,newspaper,greenpeace,reported,encountering,japan,dumping,nuclear,corp,soviet,frigate,sea
12.mp4;japanese,population,draws,thirty,percent,nuclear,coolant,sea,japan
13.mp4;japanese,population,draws,thirty,percent,nuclear,coolant,sea,japan
14.mp4;need,toxic,disposal,plant,see,catch,role,play,many
15.mp4;need,toxic,disposal,plant,see,catch,role,play,many
16.mp4;sullen,nasus,plants,like,datura,sequester,heavy,metal,jimsonweed
17.mp4;sullen,nasus,plants,like,datura,sequester,heavy,metal,jimsonweed
18.mp4;crash,program,make,land,information,clean
19.mp4;rather,human,institutions,read,corporation,care,enough,simply,person
20.mp4;rather,human,institutions,read,corporation,care,enough,simply,person
21.mp4;enough,environmental,restoration,another,area,tiny,pilot,project,hold,fashion
22.mp4;enough,environmental,restoration,another,area,tiny,pilot,project,hold,fashion
23.mp4;think,well,that,give,people,permission,least,dont,control
24.mp4;restoration,program,fact,cosmetic,worry,hear
25.mp4;perpetuated,somewhere,else,greater,horror,efforts,designed,divert,attention
26.mp4;perpetuated,somewhere,else,greater,horror,efforts,designed,divert,attention
27.mp4;enemy,youre,playing,need,planet,incredibly,sophisticated,sophisticate
28.mp4;enemy,youre,playing,need,planet,incredibly,sophisticated,sophisticate
29.mp4;obvious,one,hydrogen,friendly,technology,burn,boiler
30.mp4;obvious,one,hydrogen,friendly,technology,burn,boiler
31.mp4;developing,liquid,natural,gas,storage,produce,water,transportation,technology,oxygen
32.mp4;developing,liquid,natural,gas,storage,produce,water,transportation,technology,oxygen
33.mp4;handle,hydrogen,highly,explosive,technology,prove
34.mp4;violent,localized,unloading,depot,hydrogen,loading,blow
35.mp4;violent,localized,unloading,depot,hydrogen,loading,blow
36.mp4;planetary,contamination,air,hydrogen,water,explosion,dont
37.mp4;planetary,contamination,air,hydrogen,water,explosion,dont
38.mp4;study,put,person,move
39.mp4;technological,scheme,us,problem,place,kind
40.mp4;already,pedaling,natural,gas,petroleum,buy,product,interest
41.mp4;already,pedaling,natural,gas,petroleum,buy,product,interest
42.mp4;specy,scheme,planet,loyalty,bottom
43.mp4;civilized,society,putting,bottom,line,ahead,planet,would,civilization
44.mp4;another,area,population,control,hanging,offense,everyone,agree,one,fact
45.mp4;another,area,population,control,hanging,offense,everyone,agree,one,fact
46.mp4;fully,explored,child,boring,woman,think,san
47.mp4;thousand,time,natural,resource,eight,hundred,malibu,francisco
48.mp4;thousand,time,natural,resource,eight,hundred,malibu,francisco
49.mp4;preach,birth,control,thats,right,child,born,woman,bangladesh
50.mp4;one,child,every,woman,could,make,population
51.mp4;one,child,every,woman,could,make,population
52.mp4;planet,would,fall,one,generation,fifty,percent
53.mp4;without,war,famine,displacement,planet,would,fall,population
54.mp4;without,war,famine,displacement,planet,would,fall,population
55.mp4;dont,think,people,realize,sitting,lifetime,half
56.mp4;population,problem,unstoppable,tend,assume
57.mp4;one,woman,child,lead,message,likely,hear
58.mp4;high,tech,industrial,democracy,highly,educated,woman,saner,world,kind
59.mp4;high,tech,industrial,democracy,highly,educated,woman,saner,world,kind
60.mp4;using,eight,hundred,women,sitting,thousand,time,room,since,children
61.mp4;third,world,fifteen,percent,ten,resource,children
62.mp4;high,tech,industrial,democracy,woman,release,pressure,policy
63.mp4;high,tech,industrial,democracy,woman,release,pressure,policy
64.mp4;world,resources,would,visible,within,ten,fifteen,year,suggestion,realize
65.mp4;world,resources,would,visible,within,ten,fifteen,year,suggestion,realize
66.mp4;highly,controversial,dont,want,number
